iter	Passed	Remaining
0	73	36883
1	126	31568
2	208	34572
3	270	33579
4	350	34654
5	417	34364
6	492	34671
7	559	34406
8	634	34595
9	710	34838
10	779	34646
11	856	34845
12	937	35124
13	1026	35630
14	1093	35355
15	1173	35499
16	1245	35378
17	1325	35504
18	1398	35400
19	1474	35383
20	1564	35695
21	1640	35648
22	1726	35804
23	1810	35905
24	1900	36112
25	1984	36183
26	2061	36105
27	2137	36026
28	2222	36099
29	2302	36070
30	2388	36140
31	2471	36144
32	2553	36137
33	2632	36083
34	2709	35992
35	2789	35955
36	2870	35922
37	2952	35896
38	3031	35831
39	3104	35704
40	3185	35663
41	3259	35547
42	3331	35409
43	3413	35376
44	3497	35360
45	3578	35313
46	3656	35242
47	3738	35208
48	3822	35181
49	3890	35017
50	3969	34950
51	4045	34854
52	4127	34810
53	4198	34678
54	4279	34622
55	4363	34597
56	4446	34557
57	4516	34418
58	4600	34384
59	4681	34332
60	4758	34244
61	4834	34155
62	4926	34172
63	5018	34188
64	5099	34128
65	5159	33929
66	5249	33924
67	5318	33787
68	5395	33704
69	5475	33634
70	5534	33439
71	5597	33276
72	5661	33113
73	5742	33055
74	5819	32978
75	5892	32874
76	5970	32799
77	6053	32748
78	6122	32628
79	6206	32584
80	6269	32428
81	6351	32376
82	6445	32383
83	6522	32302
84	6596	32208
85	6680	32158
86	6766	32123
87	6846	32055
88	6930	32006
89	7015	31958
90	7092	31876
91	7150	31710
92	7216	31582
93	7280	31446
94	7358	31369
95	7430	31271
96	7514	31218
97	7602	31186
98	7679	31105
99	7754	31018
100	7839	30970
101	7913	30876
102	7995	30816
103	8075	30750
104	8143	30635
105	8222	30562
106	8290	30450
107	8366	30368
108	8424	30219
109	8506	30160
110	8590	30105
111	8668	30031
112	8748	29960
113	8824	29879
114	8908	29825
115	8990	29761
116	9054	29638
117	9139	29587
118	9209	29487
119	9301	29455
120	9382	29388
121	9453	29291
122	9529	29207
123	9602	29117
124	9682	29046
125	9770	29000
126	9826	28860
127	9894	28756
128	9974	28687
129	10051	28608
130	10137	28556
131	10221	28495
132	10304	28434
133	10384	28362
134	10452	28261
135	10536	28199
136	10619	28138
137	10705	28083
138	10793	28031
139	10874	27964
140	10950	27881
141	11034	27819
142	11103	27720
143	11177	27632
144	11252	27549
145	11333	27480
146	11419	27421
147	11504	27361
148	11582	27284
149	11655	27197
150	11739	27132
151	11815	27050
152	11889	26964
153	11979	26914
154	12061	26845
155	12153	26798
156	12222	26701
157	12300	26624
158	12374	26539
159	12448	26452
160	12531	26385
161	12612	26315
162	12686	26230
163	12761	26145
164	12849	26087
165	12930	26017
166	13012	25947
167	13081	25852
168	13165	25786
169	13239	25700
170	13313	25615
171	13390	25535
172	13476	25472
173	13566	25416
174	13633	25320
175	13710	25240
176	13774	25136
177	13854	25061
178	13925	24972
179	14004	24896
180	14085	24825
181	14140	24707
182	14224	24639
183	14290	24543
184	14361	24452
185	14435	24369
186	14517	24299
187	14600	24231
188	14692	24176
189	14767	24094
190	14855	24033
191	14934	23957
192	15015	23885
193	15100	23817
194	15170	23728
195	15259	23667
196	15329	23577
197	15419	23518
198	15497	23440
199	15570	23355
200	15652	23284
201	15732	23209
202	15815	23138
203	15897	23067
204	15979	22994
205	16055	22913
206	16112	22806
207	16180	22714
208	16262	22642
209	16337	22561
210	16417	22486
211	16503	22419
212	16589	22352
213	16663	22269
214	16744	22196
215	16816	22110
216	16874	22006
217	16958	21936
218	17042	21867
219	17110	21777
220	17195	21708
221	17280	21640
222	17354	21556
223	17439	21488
224	17520	21414
225	17596	21333
226	17687	21271
227	17764	21193
228	17845	21118
229	17930	21048
230	18019	20984
231	18103	20912
232	18177	20829
233	18255	20751
234	18334	20674
235	18415	20599
236	18497	20526
237	18569	20442
238	18648	20365
239	18719	20279
240	18793	20196
241	18872	20120
242	18939	20030
243	19020	19955
244	19098	19877
245	19192	19816
246	19263	19731
247	19343	19655
248	19420	19576
249	19505	19505
250	19588	19432
251	19675	19362
252	19743	19275
253	19831	19207
254	19905	19125
255	19989	19052
256	20069	18976
257	20150	18900
258	20237	18830
259	20311	18749
260	20373	18656
261	20446	18573
262	20535	18505
263	20621	18434
264	20694	18351
265	20753	18256
266	20810	18160
267	20891	18085
268	20973	18010
269	21061	17941
270	21142	17866
271	21233	17798
272	21320	17728
273	21408	17658
274	21496	17588
275	21588	17520
276	21671	17446
277	21755	17372
278	21838	17298
279	21913	17217
280	21993	17140
281	22067	17059
282	22139	16975
283	22223	16902
284	22303	16825
285	22385	16749
286	22467	16674
287	22531	16585
288	22616	16512
289	22699	16437
290	22783	16363
291	22856	16281
292	22931	16201
293	23019	16129
294	23100	16052
295	23178	15974
296	23257	15896
297	23335	15818
298	23425	15747
299	23521	15680
300	23592	15598
301	23678	15524
302	23751	15442
303	23853	15379
304	23931	15300
305	24008	15221
306	24090	15145
307	24170	15067
308	24260	14996
309	24336	14916
310	24422	14842
311	24508	14767
312	24595	14694
313	24694	14627
314	24782	14554
315	24889	14492
316	24975	14417
317	25070	14348
318	25151	14271
319	25230	14192
320	25312	14115
321	25378	14028
322	25456	13950
323	25530	13868
324	25615	13792
325	25676	13704
326	25753	13624
327	25813	13536
328	25906	13465
329	25998	13393
330	26072	13311
331	26154	13234
332	26241	13159
333	26312	13077
334	26399	13002
335	26489	12929
336	26579	12855
337	26655	12775
338	26737	12698
339	26826	12624
340	26915	12550
341	26997	12472
342	27077	12393
343	27165	12319
344	27250	12243
345	27333	12165
346	27443	12100
347	27546	12031
348	27637	11957
349	27718	11879
350	27804	11803
351	27887	11725
352	27974	11649
353	28065	11574
354	28153	11499
355	28241	11423
356	28324	11345
357	28409	11268
358	28491	11190
359	28569	11110
360	28635	11025
361	28712	10945
362	28795	10867
363	28878	10789
364	28969	10714
365	29054	10637
366	29139	10560
367	29216	10479
368	29297	10400
369	29375	10321
370	29466	10245
371	29558	10170
372	29643	10093
373	29735	10017
374	29822	9940
375	29900	9860
376	29976	9780
377	30051	9699
378	30139	9622
379	30215	9541
380	30301	9464
381	30393	9388
382	30476	9309
383	30558	9231
384	30636	9151
385	30717	9072
386	30796	8992
387	30878	8913
388	30966	8836
389	31051	8758
390	31134	8679
391	31215	8600
392	31296	8520
393	31385	8443
394	31463	8363
395	31543	8284
396	31622	8204
397	31717	8128
398	31795	8048
399	31876	7969
400	31949	7887
401	32025	7807
402	32110	7728
403	32185	7648
404	32257	7566
405	32337	7487
406	32401	7403
407	32490	7326
408	32593	7251
409	32668	7171
410	32743	7090
411	32833	7013
412	32910	6932
413	32999	6855
414	33075	6774
415	33148	6693
416	33228	6613
417	33303	6533
418	33387	6454
419	33463	6374
420	33553	6296
421	33639	6217
422	33724	6139
423	33808	6060
424	33892	5980
425	33975	5901
426	34046	5820
427	34132	5741
428	34215	5662
429	34310	5585
430	34396	5506
431	34484	5428
432	34574	5349
433	34662	5271
434	34766	5195
435	34860	5117
436	34946	5038
437	35031	4958
438	35117	4879
439	35212	4801
440	35306	4723
441	35393	4644
442	35491	4566
443	35573	4486
444	35648	4406
445	35724	4325
446	35809	4245
447	35909	4168
448	35994	4088
449	36098	4010
450	36188	3931
451	36265	3851
452	36359	3772
453	36439	3692
454	36522	3612
455	36599	3531
456	36689	3452
457	36768	3371
458	36844	3291
459	36930	3211
460	37028	3132
461	37116	3052
462	37204	2973
463	37282	2892
464	37365	2812
465	37449	2732
466	37520	2651
467	37598	2570
468	37686	2491
469	37764	2410
470	37846	2330
471	37933	2250
472	38020	2170
473	38110	2090
474	38192	2010
475	38273	1929
476	38352	1849
477	38431	1768
478	38514	1688
479	38598	1608
480	38692	1528
481	38770	1447
482	38851	1367
483	38930	1286
484	39016	1206
485	39101	1126
486	39186	1046
487	39277	965
488	39365	885
489	39448	805
490	39533	724
491	39622	644
492	39701	563
493	39785	483
494	39880	402
495	39963	322
496	40048	241
497	40136	161
498	40202	80
499	40286	0
